"2330   ,台積電       ,20180102,   199.1490,   200.0093,   198.7189,   200.0093,    18055,     1.2987"
"2330   ,台積電       ,20180103,   203.0202,   204.7407,   202.5901,   203.8804,    31706,     1.9170"
"2330   ,台積電       ,20180104,   206.4612,   206.4612,   203.4503,   206.0311,    29179,     1.0493"
"2330   ,台積電       ,20180105,   206.4612,   206.4612,   204.7407,   206.4612,    23721,     0.2086"
"2330   ,台積電       ,20180108,   208.1817,   208.6118,   206.8913,   208.1817,    21846,     0.8299"
"2330   ,台積電       ,20180109,   208.1817,   208.1817,   206.0311,   208.1817,    19043,     0.0000"
"2330   ,台積電       ,20180110,   207.7516,   208.1817,   203.0202,   203.4503,    25716,    -2.2990"
"2330   ,台積電       ,20180111,   202.1599,   203.0202,   200.0093,   202.1599,    32070,    -0.6363"
"2330   ,台積電       ,20180112,   201.7298,   204.7407,   200.8695,   203.8804,    23141,     0.8475"
"2330   ,台積電       ,20180115,   206.4612,   206.4612,   204.7407,   206.4612,    28576,     1.2579"
"2330   ,台積電       ,20180116,   206.4612,   206.8913,   204.7407,   206.8913,    23407,     0.2081"
"2330   ,台積電       ,20180117,   206.8913,   209.0420,   205.6009,   208.1817,    38118,     0.6218"
"2330   ,台積電       ,20180118,   210.7625,   215.0637,   210.7625,   213.7734,    50119,     2.6505"
"2330   ,台積電       ,20180119,   218.0746,   219.7952,   216.3541,   219.7952,    55061,     2.7780"
"2330   ,台積電       ,20180122,   221.5157,   225.3868,   221.0855,   224.9567,    45907,     2.3212"
"2330   ,台積電       ,20180123,   225.8169,   228.8278,   225.8169,   228.8278,    34606,     1.7062"
"2330   ,台積電       ,20180124,   226.2471,   226.2471,   220.6554,   221.9458,    42600,    -3.0537"
"2330   ,台積電       ,20180125,   221.9458,   227.1073,   220.6554,   221.9458,    46214,     0.0000"
"2330   ,台積電       ,20180126,   220.6554,   221.5157,   218.0746,   219.3650,    43514,    -1.1696"
"2330   ,台積電       ,20180129,   222.8060,   224.9567,   219.3650,   222.3759,    31306,     1.3632"
"2330   ,台積電       ,20180130,   220.2253,   221.5157,   217.2144,   217.6445,    37410,    -2.1506"
"2330   ,台積電       ,20180131,   217.6445,   221.5157,   216.7843,   219.3650,    45807,     0.7874"
"2330   ,台積電       ,20180201,   221.5157,   224.5266,   221.0855,   223.2362,    30900,     1.7493"
"2330   ,台積電       ,20180202,   222.8060,   223.6663,   219.3650,   223.2362,    25707,     0.0000"
"2330   ,台積電       ,20180205,   215.9240,   218.9349,   215.4939,   217.6445,    46554,    -2.5367"
"2330   ,台積電       ,20180206,   208.6118,   209.4721,   201.2997,   205.6009,   104448,    -5.6926"
"2330   ,台積電       ,20180207,   210.7625,   211.1926,   206.0311,   206.4612,    82299,     0.4175"
"2330   ,台積電       ,20180208,   206.0311,   208.1817,   204.7407,   205.1708,    31192,    -0.6270"
"2330   ,台積電       ,20180209,   197.8587,   200.4394,   196.5683,   200.0093,    65939,    -2.5479"
"2330   ,台積電       ,20180212,   202.5901,   204.3106,   202.1599,   203.4503,    42917,     1.7058"
